Country,Year,Disease,Cases,Deaths
Ethiopia,2020,Cholera,891,103
Ethiopia,2021,Tuberculosis,1226,181
Kenya,2020,Measles,1574,116
Kenya,2019,Measles,1590,162
Ghana,2019,Tuberculosis,1773,162
Nigeria,2020,Malaria,1922,204
Ghana,2021,Measles,782,77
Nigeria,2019,Malaria,1947,188
Ghana,2019,Tuberculosis,759,98
Ghana,2019,Malaria,804,72
Nigeria,2019,Cholera,1666,145
Ethiopia,2020,Cholera,1481,128
Ethiopia,2019,Malaria,997,115
South Africa,2021,Cholera,1017,121
Nigeria,2021,Cholera,1347,175
South Africa,2021,Cholera,1005,84
South Africa,2019,Cholera,524,72
Ethiopia,2019,Measles,881,60
Ethiopia,2021,Cholera,1348,173
Nigeria,2020,Measles,1981,178
South Africa,2020,Cholera,1645,109
Ethiopia,2020,Cholera,1135,108
Nigeria,2021,Tuberculosis,1210,87
South Africa,2020,Cholera,734,80
Ghana,2020,Measles,1908,215
Nigeria,2020,Measles,1827,214
Nigeria,2019,Cholera,1451,166
South Africa,2019,Tuberculosis,1562,163
Kenya,2021,Tuberculosis,1281,125
Kenya,2021,Tuberculosis,756,40
Ghana,2019,Measles,1765,167
Ethiopia,2020,Tuberculosis,1887,170
South Africa,2019,Cholera,1633,82
South Africa,2020,Tuberculosis,1730,195
Ghana,2019,Tuberculosis,565,64
South Africa,2020,Measles,1247,66
Ethiopia,2020,Measles,1297,72
Ghana,2020,Malaria,1644,245
Kenya,2019,Measles,1755,129
Nigeria,2021,Cholera,887,58
Ghana,2020,Measles,990,137
South Africa,2019,Tuberculosis,1517,151
Ghana,2021,Measles,897,131
Kenya,2020,Tuberculosis,1176,119
Ethiopia,2021,Cholera,1839,167
South Africa,2020,Tuberculosis,1780,258
Ethiopia,2021,Measles,809,83
Ghana,2021,Tuberculosis,1912,159
South Africa,2021,Malaria,1761,257
South Africa,2021,Measles,694,84
Ghana,2020,Cholera,1673,249
Ethiopia,2020,Malaria,1532,208
Nigeria,2019,Measles,610,53
Kenya,2021,Measles,1052,67
Ghana,2019,Cholera,1478,198
South Africa,2019,Cholera,1925,214
South Africa,2020,Cholera,1878,245
Nigeria,2020,Malaria,1319,168
Ghana,2019,Malaria,1155,164
Kenya,2021,Cholera,527,67
Kenya,2021,Tuberculosis,872,68
Ghana,2019,Tuberculosis,822,120
Kenya,2019,Malaria,1795,109
